IATA	ID	Name	City	Country	ICAO
DAM	2236	Damascus International Airport	Damascus	Syria	OSDI
DAN	9799	Danville Regional Airport	Danville	United States	KDAN
DAR	1177	Julius Nyerere International Airport	Dar Es Salaam	Tanzania	HTDA
DAT	6344	Datong Airport	Datong	China	ZBDT
DAU	5421	Daru Airport	Daru	Papua New Guinea	AYDU
DAV	1867	Enrique Malek International Airport	David	Panama	MPDA
DAW	9396	Skyhaven Airport	Rochester	United States	KDAW
DAX	6397	Dachuan Airport	Dazhou	China	ZUDX
DAY	3627	James M Cox Dayton International Airport	Dayton	United States	KDAY
DBA	5941	Dalbandin Airport	Dalbandin	Pakistan	OPDB
DBB	7856	El Alamein International Airport	Dabaa City	Egypt	HEAL
DBD	3045	Dhanbad Airport	Dhanbad	India	VEDB
DBM	7419	Debra Marcos Airport	Debre Marqos	Ethiopia	HADM
DBN	9450	W H 'Bud' Barron Airport	Dublin	United States	KDBN
DBO	3358	Dubbo City Regional Airport	Dubbo	Australia	YSDU
DBQ	4388	Dubuque Regional Airport	Dubuque IA	United States	KDBQ
DBT	7420	Debre Tabor Airport	Debre Tabor	Ethiopia	HADT
DBV	1200	Dubrovnik Airport	Dubrovnik	Croatia	LDDU
DCA	3520	Ronald Reagan Washington National Airport	Washington	United States	KDCA
DCF	2876	Canefield Airport	Canefield	Dominica	TDCF
DCI	1518	Decimomannu Air Base	Decimomannu	Italy	LIED
DCM	1285	Castres-Mazamet Airport	Castres	France	LFCK
DCN	9905	RAAF Base Curtin	Derby	Australia	YCIN
DDC	5733	Dodge City Regional Airport	Dodge City	United States	KDDC
DEA	5942	Dera Ghazi Khan Airport	Dera Ghazi Khan	Pakistan	OPDG
DEB	1490	Debrecen International Airport	Debrecen	Hungary	LHDC
DEC	4042	Decatur Airport	Decatur	United States	KDEC
DED	3092	Dehradun Airport	Dehra Dun	India	VIDN
DEE	8782	Cooma Hospital Helipad	Yuzhno-Kurilsk	Russia	YXCM
DEL	3093	Indira Gandhi International Airport	Delhi	India	VIDP
DEM	5679	Dembidollo Airport	Dembidollo	Ethiopia	HADD
DEN	3751	Denver International Airport	Denver	United States	KDEN
DES	992	Desroches Airport	Desroches	Seychelles	FSDR
DET	3737	Coleman A. Young Municipal Airport	Detroit	United States	KDET
DEZ	2237	Deir ez-Zor Airport	Deire Zor	Syria	OSDZ
DFW	3670	Dallas Fort Worth International Airport	Dallas-Fort Worth	United States	KDFW
DGE	6808	Mudgee Airport	Mudgee	Australia	YMDG
DGL	7588	Douglas Municipal Airport	Douglas	United States	KDGL
DGO	1801	General Guadalupe Victoria International Airport	Durango	Mexico	MMDO
DGP	11799	Daugavpils Intrenational Airport	Daugavpils	Latvia	EVDA
DGT	2425	Sibulan Airport	Dumaguete	Philippines	RPVD
DHA	2065	King Abdulaziz Air Base	Dhahran	Saudi Arabia	OEDR
DHI	4188	Dhangarhi Airport	Dhangarhi	Nepal	VNDH
DHM	6760	Kangra Airport	Kangra	India	VIGG
DHN	3739	Dothan Regional Airport	Dothan	United States	KDHN
DHR	588	De Kooy Airport	De Kooy	Netherlands	EHKD
DHT	3482	Dalhart Municipal Airport	Dalhart	United States	KDHT
DIB	3057	Dibrugarh Airport	Mohanbari	India	VEMN
DIE	923	Arrachart Airport	Antsiranana	Madagascar	FMNA
DIG	6375	Diqing Airport	Shangri-La	China	ZPDQ
DIJ	1425	Dijon-Bourgogne Airport	Dijon	France	LFSD
DIK	7064	Dickinson Theodore Roosevelt Regional Airport	Dickinson	United States	KDIK
DIL	3310	Presidente Nicolau Lobato International Airport	Dili	East Timor	WPDL
DIN	6192	Dien Bien Phu Airport	Dienbienphu	Vietnam	VVDB
DIQ	10155	Brigadeiro Cabral Airport	Divinopolis	Brazil	SNDV
DIR	1112	Aba Tenna Dejazmach Yilma International Airport	Dire Dawa	Ethiopia	HADR
DIS	5611	Ngot Nzoungou Airport	Loubomo	Congo (Brazzaville)	FCPL
DIU	5711	Diu Airport	Diu	India	VA1P
DIY	1722	Diyarbakir Airport	Diyabakir	Turkey	LTCC
DJB	3287	Sultan Thaha Airport	Jambi	Indonesia	WIPA
DJE	293	Djerba Zarzis International Airport	Djerba	Tunisia	DTTJ
DJG	211	Djanet Inedbirene Airport	Djanet	Algeria	DAAJ
DJJ	3244	Sentani Airport	Jayapura	Indonesia	WAJJ
DJO	255	Daloa Airport	Daloa	Cote d'Ivoire	DIDL
DKI	7572	Dunk Island Airport	Dunk Island	Australia	YDKI
DKK	8545	Chautauqua County-Dunkirk Airport	Dunkirk	United States	KDKK
DKR	1084	L??opold S??dar Senghor International Airport	Dakar	Senegal	GOOY
DKS	8695	Dikson Airport	Dikson	Russia	UODD
DKX	8296	Knoxville Downtown Island Airport	Knoxville	United States	KDKX
DLA	897	Douala International Airport	Douala	Cameroon	FKKD
DLC	3404	Zhoushuizi Airport	Dalian	China	ZYTL
DLE	1309	Dole-Tavaux Airport	Dole	France	LFGJ
DLF	3483	Laughlin Air Force Base	Del Rio	United States	KDLF
DLG	3460	Dillingham Airport	Dillingham	United States	PADL
DLH	3598	Duluth International Airport	Duluth	United States	KDLH
DLI	4153	Lien Khuong Airport	Dalat	Vietnam	VVDL
DLK	11658	Dulkaninna Airport	Dulkaninna	Australia	YDLK
DLL	8524	Baraboo Wisconsin Dells Airport	Baraboo	United States	KDLL
DLM	1715	Dalaman International Airport	Dalaman	Turkey	LTBS
DLU	4054	Dali Airport	Dali	China	ZPDL
